is_player,ai_controlled,driver_name,team,race_number,lap,lap_time_s,lap_time_ms,sector1_ms,sector2_ms,sector3_ms,position,num_pit_stops,pit_stop_time_ms,lap_invalid,grid_position,stint,speed_kmh,throttle,steer,brake,gear,rpm,drs,brake_temp_rl,brake_temp_rr,brake_temp_fl,brake_temp_fr,tyre_surf_rl,tyre_surf_rr,tyre_surf_fl,tyre_surf_fr,tyre_inner_rl,tyre_inner_rr,tyre_inner_fl,tyre_inner_fr,engine_temp,tyre_press_rl,tyre_press_rr,tyre_press_fl,tyre_press_fr,weather,track_temp_c,air_temp_c,total_laps,track_length_m,safety_car,fuel_in_tank,fuel_remaining_laps,actual_compound,visual_compound,tyres_age_laps,ers_store_energy,ers_deploy_mode,ers_deployed,tyre_wear_rl,tyre_wear_rr,tyre_wear_fl,tyre_wear_fr,tyre_dmg_rl,tyre_dmg_rr,tyre_dmg_fl,tyre_dmg_fr,front_wing_l,front_wing_r,rear_wing,gearbox_damage,car_idx
False,True,M1skycc,team=41,24,31,91.593,91593,32087,19917,39589,8,2,0,0,14,5,284,1.0,-0.002,0.0,7,11382,0,368,369,412,414,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,45320,Unknown,60.055,7.46,Medium,Medium,18,3773700.8,1,1545373.5,0.0,0.0,0.0,22.23,178,243,157,65,22,19,13,0,12
False,True,James,team=41,11,31,91.848,91848,32562,19381,39905,9,1,0,0,18,3,285,1.0,-0.0,0.0,7,11411,0,366,367,410,411,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,44296,Unknown,60.384,7.64,Medium,Medium,9,3730170.8,1,1572528.4,0.0,0.0,0.0,0.0,42,45,65,56,193,157,64,0,15
False,True,DJ Jörssi™,team=41,2,31,91.321,91321,32159,19536,39626,10,2,0,0,16,5,284,1.0,0.002,0.0,7,11385,0,363,364,407,410,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,43272,Unknown,60.288,7.59,Medium,Medium,5,3774580.2,1,1547052.0,0.0,0.0,0.0,0.0,64,94,219,178,64,6,5,0,13
False,True,dave,team=41,29,31,92.615,92615,33154,19590,39871,11,3,0,0,17,6,284,1.0,0.001,0.0,7,11361,0,370,371,413,416,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,28,20,58,35336,Unknown,58.63,6.63,Medium,Medium,8,3733660.8,1,1492647.9,0.0,0.0,0.0,0.0,179,170,27,65,110,1,144,0,16
False,True,pedrogabrielbarbosa,team=41,2,32,91.637,91637,32041,19777,39819,1,1,0,0,2,3,296,1.0,0.007,0.0,8,10555,1,374,375,421,424,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,45320,Unknown,57.739,7.12,Medium,Medium,14,3769338.2,1,1418189.5,19.62,17.39,12.58,9.25,19,17,12,9,0,0,0,0,0
False,True,ingo,team=41,8,32,90.581,90581,31609,19231,39741,2,1,0,0,4,3,309,1.0,-0.002,0.0,8,11058,1,367,368,419,421,80,80,80,80,80,80,80,80,110,21.3,21.3,24.2,24.2,Clear,29,20,58,45064,Unknown,56.166,6.22,Soft,Soft,14,3109731.5,3,2322343.8,100.0,46.06,0.0,0.0,59,65,26,22,0,0,0,0,2
False,True,JackWasAlive,team=41,2,32,90.501,90501,31360,19004,40137,3,1,0,0,3,3,296,1.0,0.002,0.0,8,10555,1,355,356,402,405,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,29,20,58,44040,Unknown,57.879,7.21,Medium,Medium,16,3710769.8,1,1560336.9,0.0,0.0,100.0,0.0,65,21,18,13,0,0,0,0,1
False,True,hester,team=41,24,32,90.88,90880,31914,19399,39567,4,1,0,0,8,3,284,1.0,-0.002,0.0,7,11369,0,370,371,415,417,90,90,90,90,90,90,90,90,110,21.3,21.3,24.2,24.2,Clear,28,20,58,37640,Unknown,56.116,6.19,Hard,Hard,11,3792794.2,1,1576498.2,0.0,0.0,0.0,0.0,234,64,128,82,0,0,0,0,6
False,True,NyanNyagi,team=41,2,32,91.795,91795,32145,19562,40088,5,2,0,0,6,5,284,1.0,0.002,0.0,7,11390,0,367,368,411,414,80,80,80,80,80,80,80,80,110,21.3,21.3,24.2,24.2,Clear,29,20,58,28680,Unknown,55.386,5.77,Soft,Soft,14,3715537.0,1,1654286.2,0.0,24.7,22.04,16.2,118,61,62,65,0,0,0,0,4
False,True,Kyoko,team=41,2,32,91.706,91706,32063,19667,39976,6,1,0,0,13,3,282,1.0,-0.002,0.0,7,11311,0,369,370,413,416,90,90,90,90,90,90,90,90,110,21.3,21.3,24.2,24.2,Clear,28,20,58,23816,Unknown,58.912,7.8,Hard,Hard,10,3748890.8,1,1554358.2,0.0,0.0,0.0,0.0,141,12,65,229,8,6,4,0,11
False,True,M1skycc,team=41,24,32,92.493,92493,32345,19705,40443,7,2,0,0,14,5,294,1.0,0.001,0.0,8,10505,1,363,364,406,409,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,28,20,58,21512,Unknown,58.436,7.53,Medium,Medium,19,3793899.8,1,1549027.8,0.0,0.0,0.0,23.43,128,143,166,65,23,20,14,0,12
False,True,sakamuni2,team=41,2,32,96.333,96333,37630,19375,39328,8,2,0,0,12,5,297,1.0,-0.001,0.0,8,10606,0,379,380,423,426,81,75,87,75,87,84,88,81,110,21.3,21.3,24.2,24.2,Clear,28,20,58,21000,Unknown,58.48,7.55,Hard,Hard,0,2487998.5,3,2623485.2,0.0,0.0,0.0,0.0,35,63,63,87,0,0,0,0,10
False,True,James,team=41,11,32,95.381,95381,35731,19485,40165,9,1,0,0,18,3,285,1.0,-0.001,0.0,7,11400,0,369,370,413,416,85,85,85,85,85,85,85,85,110,21.3,21.3,24.2,24.2,Clear,28,20,58,19720,Unknown,58.768,7.72,Medium,Medium,10,3709029.5,1,1940788.5,0.0,0.0,0.0,0.0,180,63,65,77,222,173,64,0,15
